init_method	min_init_weight	max_init_weight	embed_size	rnn_size	post_image_size	post_image_activation	rnn_type	learnable_init_state	optimizer	learning_rate	normalize_image	weights_reg_weight	image_dropout_prob	post_image_dropout_prob	embedding_dropout_prob	rnn_dropout_prob	train_minibatch_size	max_epochs	beam_width	cost	duration
xavier_normal	-0.01	0.01	512	512	512	none	gru	True	adam	0.001	True	0.0	0.0	0.0	0.5	0.5	128	10	1	-0.447152494526	1258
xavier_normal	-0.01	0.01	512	512	512	none	gru	True	adam	0.001	True	0.0	0.0	0.0	0.5	0.5	128	10	2	-0.459190654291	1409
xavier_normal	-0.01	0.01	512	512	512	none	gru	True	adam	0.001	True	0.0	0.0	0.0	0.5	0.5	128	10	3	-0.468651976294	1575
xavier_normal	-0.01	0.01	512	512	512	none	gru	True	adam	0.001	True	0.0	0.0	0.0	0.5	0.5	128	10	4	-0.463350930183	1761
xavier_normal	-0.01	0.01	512	512	512	none	gru	True	adam	0.001	True	0.0	0.0	0.0	0.5	0.5	128	10	5	-0.469385812868	1868
xavier_normal	-0.01	0.01	512	512	512	none	gru	True	adam	0.001	True	0.0	0.0	0.0	0.5	0.5	128	10	6	-0.448285770345	2058
xavier_normal	-0.01	0.01	512	512	512	none	gru	True	adam	0.001	True	0.0	0.0	0.0	0.5	0.5	128	100	1	-0.434305038403	1477
xavier_normal	-0.01	0.01	512	512	512	none	gru	True	adam	0.001	True	0.0	0.0	0.0	0.5	0.5	128	100	2	-0.467177311167	1547
xavier_normal	-0.01	0.01	512	512	512	none	gru	True	adam	0.001	True	0.0	0.0	0.0	0.5	0.5	128	100	3	-0.472766664743	1798
xavier_normal	-0.01	0.01	512	512	512	none	gru	True	adam	0.001	True	0.0	0.0	0.0	0.5	0.5	128	100	4	-0.46012538201	1861
xavier_normal	-0.01	0.01	512	512	512	none	gru	True	adam	0.001	True	0.0	0.0	0.0	0.5	0.5	128	100	5	-0.460666570167	2034
xavier_normal	-0.01	0.01	512	512	512	none	gru	True	adam	0.001	True	0.0	0.0	0.0	0.5	0.5	128	100	6	-0.471560238618	2193
xavier_normal	-0.1	0.1	256	256	256	none	gru	True	adam	0.001	True	0.0	0.0	0.0	0.5	0.0	128	10	1	-0.420839178697	770
xavier_normal	-0.1	0.1	256	256	256	none	gru	True	adam	0.001	True	0.0	0.0	0.0	0.5	0.0	128	10	2	-0.448798671189	919
xavier_normal	-0.1	0.1	256	256	256	none	gru	True	adam	0.001	True	0.0	0.0	0.0	0.5	0.0	128	10	3	-0.437611022108	1087
xavier_normal	-0.1	0.1	256	256	256	none	gru	True	adam	0.001	True	0.0	0.0	0.0	0.5	0.0	128	10	4	-0.449145999859	1246
xavier_normal	-0.1	0.1	256	256	256	none	gru	True	adam	0.001	True	0.0	0.0	0.0	0.5	0.0	128	10	5	-0.445615701105	1380
xavier_normal	-0.1	0.1	256	256	256	none	gru	True	adam	0.001	True	0.0	0.0	0.0	0.5	0.0	128	10	6	-0.439653115507	1537
xavier_normal	-0.1	0.1	256	256	256	none	gru	True	adam	0.001	True	0.0	0.0	0.0	0.5	0.0	128	100	1	-0.420759485227	791
xavier_normal	-0.1	0.1	256	256	256	none	gru	True	adam	0.001	True	0.0	0.0	0.0	0.5	0.0	128	100	2	-0.448358567992	995
xavier_normal	-0.1	0.1	256	256	256	none	gru	True	adam	0.001	True	0.0	0.0	0.0	0.5	0.0	128	100	3	-0.456966365635	1078
xavier_normal	-0.1	0.1	256	256	256	none	gru	True	adam	0.001	True	0.0	0.0	0.0	0.5	0.0	128	100	4	-0.443160574336	1293
xavier_normal	-0.1	0.1	256	256	256	none	gru	True	adam	0.001	True	0.0	0.0	0.0	0.5	0.0	128	100	5	-0.44678067272	1390
xavier_normal	-0.1	0.1	256	256	256	none	gru	True	adam	0.001	True	0.0	0.0	0.0	0.5	0.0	128	100	6	-0.434427650625	1616
normal	-0.1	0.1	512	512	512	none	gru	True	adam	0.001	True	1e-08	0.5	0.0	0.5	0.5	128	10	1	-0.40793978728	1268
normal	-0.1	0.1	512	512	512	none	gru	True	adam	0.001	True	1e-08	0.5	0.0	0.5	0.5	128	10	2	-0.439329090385	1377
normal	-0.1	0.1	512	512	512	none	gru	True	adam	0.001	True	1e-08	0.5	0.0	0.5	0.5	128	10	3	-0.44693175829	1568
normal	-0.1	0.1	512	512	512	none	gru	True	adam	0.001	True	1e-08	0.5	0.0	0.5	0.5	128	10	4	-0.446698454716	1751
normal	-0.1	0.1	512	512	512	none	gru	True	adam	0.001	True	1e-08	0.5	0.0	0.5	0.5	128	10	5	-0.438493132971	1863
normal	-0.1	0.1	512	512	512	none	gru	True	adam	0.001	True	1e-08	0.5	0.0	0.5	0.5	128	10	6	-0.458098898949	2044
