init_method	min_init_weight	max_init_weight	embed_size	rnn_size	post_image_size	post_image_activation	rnn_type	learnable_init_state	optimizer	learning_rate	normalize_image	weights_reg_weight	image_dropout_prob	post_image_dropout_prob	embedding_dropout_prob	rnn_dropout_prob	train_minibatch_size	max_epochs	beam_width	cost	duration
xavier_normal	-0.1	0.1	256	256	256	relu	gru	True	adam	0.001	True	0.0	0.0	0.0	0.0	0.5	64	10	1	-0.428689402997	1070
xavier_normal	-0.1	0.1	256	256	256	relu	gru	True	adam	0.001	True	0.0	0.0	0.0	0.0	0.5	64	10	2	-0.444841213824	1193
xavier_normal	-0.1	0.1	256	256	256	relu	gru	True	adam	0.001	True	0.0	0.0	0.0	0.0	0.5	64	10	3	-0.45921004274	1330
xavier_normal	-0.1	0.1	256	256	256	relu	gru	True	adam	0.001	True	0.0	0.0	0.0	0.0	0.5	64	10	4	-0.448639866988	1541
xavier_normal	-0.1	0.1	256	256	256	relu	gru	True	adam	0.001	True	0.0	0.0	0.0	0.0	0.5	64	10	5	-0.455617762254	1684
xavier_normal	-0.1	0.1	256	256	256	relu	gru	True	adam	0.001	True	0.0	0.0	0.0	0.0	0.5	64	10	6	-0.440454429252	1864
xavier_normal	-0.1	0.1	256	256	256	relu	gru	True	adam	0.001	True	0.0	0.0	0.0	0.0	0.5	64	100	1	-0.398555891882	1002
xavier_normal	-0.1	0.1	256	256	256	relu	gru	True	adam	0.001	True	0.0	0.0	0.0	0.0	0.5	64	100	2	-0.449020963593	1216
xavier_normal	-0.1	0.1	256	256	256	relu	gru	True	adam	0.001	True	0.0	0.0	0.0	0.0	0.5	64	100	3	-0.451903484986	1399
xavier_normal	-0.1	0.1	256	256	256	relu	gru	True	adam	0.001	True	0.0	0.0	0.0	0.0	0.5	64	100	4	-0.447725339988	1438
xavier_normal	-0.1	0.1	256	256	256	relu	gru	True	adam	0.001	True	0.0	0.0	0.0	0.0	0.5	64	100	5	-0.451599861214	1623
xavier_normal	-0.1	0.1	256	256	256	relu	gru	True	adam	0.001	True	0.0	0.0	0.0	0.0	0.5	64	100	6	-0.449553246424	1777
normal	-0.01	0.01	512	512	512	none	gru	False	adam	0.001	True	0.0	0.0	0.0	0.5	0.5	128	10	1	-0.403434620757	1317
normal	-0.01	0.01	512	512	512	none	gru	False	adam	0.001	True	0.0	0.0	0.0	0.5	0.5	128	10	2	-0.411170331893	1452
normal	-0.01	0.01	512	512	512	none	gru	False	adam	0.001	True	0.0	0.0	0.0	0.5	0.5	128	10	3	-0.444854253584	1706
normal	-0.01	0.01	512	512	512	none	gru	False	adam	0.001	True	0.0	0.0	0.0	0.5	0.5	128	10	4	-0.450939947013	1746
normal	-0.01	0.01	512	512	512	none	gru	False	adam	0.001	True	0.0	0.0	0.0	0.5	0.5	128	10	5	-0.442491376048	2032
normal	-0.01	0.01	512	512	512	none	gru	False	adam	0.001	True	0.0	0.0	0.0	0.5	0.5	128	10	6	-0.436110623889	2190
normal	-0.01	0.01	512	512	512	none	gru	False	adam	0.001	True	0.0	0.0	0.0	0.5	0.5	128	100	1	-0.417553814883	1406
normal	-0.01	0.01	512	512	512	none	gru	False	adam	0.001	True	0.0	0.0	0.0	0.5	0.5	128	100	2	-0.44825777797	1408
normal	-0.01	0.01	512	512	512	none	gru	False	adam	0.001	True	0.0	0.0	0.0	0.5	0.5	128	100	3	-0.444522245094	1775
normal	-0.01	0.01	512	512	512	none	gru	False	adam	0.001	True	0.0	0.0	0.0	0.5	0.5	128	100	4	-0.440898118632	1807
normal	-0.01	0.01	512	512	512	none	gru	False	adam	0.001	True	0.0	0.0	0.0	0.5	0.5	128	100	5	-0.442647412295	1860
normal	-0.01	0.01	512	512	512	none	gru	False	adam	0.001	True	0.0	0.0	0.0	0.5	0.5	128	100	6	-0.441671131177	2058
normal	-0.1	0.1	128	128	128	none	gru	True	adam	0.001	True	0.0	0.0	0.0	0.0	0.5	128	10	1	-0.416485192191	693
normal	-0.1	0.1	128	128	128	none	gru	True	adam	0.001	True	0.0	0.0	0.0	0.0	0.5	128	10	2	-0.448137428187	857
normal	-0.1	0.1	128	128	128	none	gru	True	adam	0.001	True	0.0	0.0	0.0	0.0	0.5	128	10	3	-0.449316701878	1006
normal	-0.1	0.1	128	128	128	none	gru	True	adam	0.001	True	0.0	0.0	0.0	0.0	0.5	128	10	4	-0.461798607467	1189
normal	-0.1	0.1	128	128	128	none	gru	True	adam	0.001	True	0.0	0.0	0.0	0.0	0.5	128	10	5	-0.452764870611	1304
normal	-0.1	0.1	128	128	128	none	gru	True	adam	0.001	True	0.0	0.0	0.0	0.0	0.5	128	10	6	-0.453171801787	1478
normal	-0.1	0.1	128	128	128	none	gru	True	adam	0.001	True	0.0	0.0	0.0	0.0	0.5	128	100	1	-0.417489852681	777
normal	-0.1	0.1	128	128	128	none	gru	True	adam	0.001	True	0.0	0.0	0.0	0.0	0.5	128	100	2	-0.456320190212	959
normal	-0.1	0.1	128	128	128	none	gru	True	adam	0.001	True	0.0	0.0	0.0	0.0	0.5	128	100	3	-0.462586769249	1194
normal	-0.1	0.1	128	128	128	none	gru	True	adam	0.001	True	0.0	0.0	0.0	0.0	0.5	128	100	4	-0.462031315824	1345
normal	-0.1	0.1	128	128	128	none	gru	True	adam	0.001	True	0.0	0.0	0.0	0.0	0.5	128	100	5	-0.461124458181	1380
normal	-0.1	0.1	128	128	128	none	gru	True	adam	0.001	True	0.0	0.0	0.0	0.0	0.5	128	100	6	-0.4525935113	1610
