dataset_name	architecture	run	num_caps	cos_word0	cos_word1	cos_word2	cos_word3	cos_word4	cos_word5	euc_word0	euc_word1	euc_word2	euc_word3	euc_word4	euc_word5	meanerr_word0	meanerr_word1	meanerr_word2	meanerr_word3	meanerr_word4	meanerr_word5
mscoco	init	1	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
mscoco	pre	1	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
mscoco	par	1	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
mscoco	merge	1	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
mscoco	init	2	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
mscoco	pre	2	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
mscoco	par	2	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
mscoco	merge	2	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
mscoco	init	3	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
mscoco	pre	3	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
mscoco	par	3	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
mscoco	merge	3	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
flickr30k	init	1	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
flickr30k	pre	1	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
flickr30k	par	1	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
flickr30k	merge	1	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
flickr30k	init	2	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
flickr30k	pre	2	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
flickr30k	par	2	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
flickr30k	merge	2	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
flickr30k	init	3	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
flickr30k	pre	3	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
flickr30k	par	3	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
flickr30k	merge	3	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
flickr8k	init	1	25	0.267313520908	0.293754725456	0.315566658974	0.293004717827	0.311069831848	0.322926352024	13.156570549	13.3678816223	12.7771355438	12.1187102509	12.1713803864	11.9829050064	0.000825556	0.000836343	0.000786281	0.000717301	0.000722858	0.000723404
flickr8k	pre	1	25	0.452492880821	0.497407740355	0.404513263702	0.352734203339	0.391285452843	0.364057465792	7.34462330898	7.60583942578	7.32875259751	7.06622079669	7.23111923169	7.09469147768	0.000484904	0.000509864	0.000490167	0.000469914	0.000485272	0.000473273
flickr8k	par	1	25	0.209632339478	0.366527657509	0.317375028133	0.278464419842	0.365765936375	0.32580768466	4.87958671152	6.81683987078	6.831784061	6.70932988447	7.34852327414	7.16347380502	0.000857096	0.00122523	0.00123295	0.00121358	0.00135471	0.00130811
flickr8k	merge	1	25	0.486939282417	0.460018606186	0.45521412611	0.443196258545	0.449276599884	0.458421865702	9.61176275253	9.61176275253	9.61176275253	9.61176275253	9.61176275253	9.61176275253	0.00130365	0.00130365	0.00130365	0.00130365	0.00130365	0.00130365
flickr8k	init	2	25	0.277683827877	0.291526794434	0.316868155003	0.305640509129	0.326809959412	0.329809424877	13.1133966254	13.2051264799	12.7624031414	12.320837708	12.431041923	12.1380615337	0.000825204	0.000821141	0.000785893	0.000731486	0.000743494	0.000731366
flickr8k	pre	2	25	0.444013656378	0.502069805264	0.413887006044	0.357798819542	0.406685853004	0.381753696203	7.38613605777	7.71873334325	7.46221286842	7.15823082294	7.31757797836	7.2207314625	0.000488776	0.000517301	0.000497664	0.000476435	0.000491897	0.000484095
flickr8k	par	2	25	0.209223999977	0.366332986355	0.315430225134	0.289217689037	0.357053045034	0.334155817032	4.79666510582	6.80591873169	6.7297193718	6.79338350296	7.36515708923	7.21732507706	0.000835184	0.00121785	0.00121917	0.00122587	0.0013513	0.00132973
flickr8k	merge	2	25	0.48559869051	0.460348677635	0.454841592312	0.44560667038	0.453461847305	0.456845265627	9.56616409019	9.56616409019	9.56616409019	9.56616409019	9.56616409019	9.56616409019	0.00129415	0.00129415	0.00129415	0.00129415	0.00129415	0.00129415
