dataset_name	architecture	run	vocab_size	num_training_caps	mean_training_caps_len	num_params	geomean_pplx	num_inf_pplx	vocab_used	vocab_used_frac	mean_cap_len	num_existing_caps	num_existing_caps_frac	existing_caps_CIDEr	unigram_entropy	bigram_entropy	CIDEr	METEOR	ROUGE_L	Bleu_1	Bleu_2	Bleu_3	Bleu_4	R@1	R@5	R@10	median_rank	R@1_frac	R@5_frac	R@10_frac	median_rank_frac	num_epochs	training_time	total_time
flickr8k	human	1	2539	30000	10.816	0	1.0	0	1187	0.467506892477	11.139	11	0.011	2.93883354892	7.33344334854	10.8357967056	2.63565379807	1.0	1.0	1.0	1.0	1.0	1.0	1000	1000	1000	1.0	1.0	1.0	1.0	0.001	0	0	229
flickr8k	init	1	2539	30000	10.816	6274539	13.7321828707	0	295	0.116187475384	9.979	111	0.111	0.603028031397	5.55859292241	7.57817769253	0.467578386993	0.193294644335	0.441822161078	0.608578013829	0.417684553449	0.277941427732	0.185274801637	167	422	562	8.0	0.167	0.422	0.562	0.008	10	363	787
flickr8k	pre	1	2539	30000	10.816	6274539	13.7188746384	0	293	0.115399763686	9.73	96	0.096	0.646404120089	5.5374427646	7.57895029831	0.462474567077	0.18943528818	0.442916044796	0.600513874615	0.413694349606	0.27919720571	0.185734033061	151	379	528	9.0	0.151	0.379	0.528	0.009	5	506	928
flickr8k	par	1	2539	30000	10.816	2942187	13.3230962684	0	280	0.110279637653	9.964	102	0.102	0.595990394997	5.50249197419	7.41672827857	0.481026424928	0.19550742133	0.451196398172	0.610999598555	0.425404227294	0.28970236655	0.195101840238	162	403	536	9.0	0.162	0.403	0.536	0.009	12	441	923
flickr8k	merge	1	2539	30000	10.816	1600747	13.8788238195	0	346	0.136274123671	9.94	106	0.106	0.603044369589	5.64545839319	7.68303700426	0.479622648115	0.194883476263	0.446925017641	0.607947686117	0.419432964407	0.279172113885	0.182779152028	173	408	555	8.5	0.173	0.408	0.555	0.0085	13	221	576
flickr8k	init	2	2539	30000	10.816	6274539	13.6914323768	0	304	0.119732178023	9.986	112	0.112	0.57571932238	5.63262141803	7.68282935269	0.488192598597	0.194456519756	0.445490699657	0.613759262968	0.427442514378	0.28826434991	0.193397607573	179	447	565	7.0	0.179	0.447	0.565	0.007	10	362	782
flickr8k	pre	2	2539	30000	10.816	6274539	13.4975206325	0	317	0.124852304057	9.789	97	0.097	0.717643525308	5.63973751917	7.72616890796	0.482509155868	0.193000561475	0.448293383145	0.617529880478	0.427000061131	0.288893075117	0.192169386093	145	389	524	9.0	0.145	0.389	0.524	0.009	5	506	930
flickr8k	par	2	2539	30000	10.816	2942187	13.521772582	0	252	0.0992516738874	9.645	146	0.146	0.558980719378	5.48103850559	7.39375076635	0.474533473561	0.193146955988	0.448853481897	0.613063763608	0.425746169702	0.286994157613	0.190600713892	152	389	525	9.0	0.152	0.389	0.525	0.009	11	404	885
flickr8k	merge	2	2539	30000	10.816	1600747	14.042398009	0	312	0.122883024813	9.942	118	0.118	0.551270388897	5.46244861441	7.40854256886	0.448286138232	0.190845794983	0.438697205618	0.601186883927	0.413160473227	0.273131629465	0.178515885749	175	409	541	8.0	0.175	0.409	0.541	0.008	11	197	561
flickr8k	init	3	2539	30000	10.816	6274539	13.6828357234	0	316	0.124458448208	9.647	111	0.111	0.581416577416	5.65998769213	7.68596448206	0.488256919556	0.194102502269	0.447479821158	0.611029681515	0.427017859908	0.289848085097	0.194829238617	180	427	556	8.0	0.18	0.427	0.556	0.008	10	380	796
flickr8k	pre	3	2539	30000	10.816	6274539	13.4113228205	0	339	0.133517132729	9.729	90	0.09	0.518494902961	5.69243663424	7.71090350313	0.462586959303	0.190758882679	0.439910414573	0.60818172474	0.421176019561	0.286160642452	0.192094081335	148	369	502	10.0	0.148	0.369	0.502	0.01	6	605	1028
flickr8k	par	3	2539	30000	10.816	2942187	13.4082916156	0	281	0.110673493501	9.471	151	0.151	0.581823918191	5.53782211537	7.45155203654	0.470626870012	0.19148055698	0.444047066754	0.610089478851	0.422010843778	0.283323031791	0.188537729536	161	399	539	9.0	0.161	0.399	0.539	0.009	10	366	835
flickr8k	merge	3	2539	30000	10.816	1600747	13.9690670451	0	372	0.146514375738	10.259	107	0.107	0.647331188376	5.66597210838	7.78615479957	0.479186345372	0.193067908973	0.444843848621	0.590798323423	0.405267573704	0.266520773479	0.172436430488	172	416	543	9.0	0.172	0.416	0.543	0.009	14	237	606
flickr30k	human	1	7415	145000	12.3150551724	0	1.0	0	2180	0.293998651382	18.243	0	0.0		8.0112856232	11.7862707858	2.43295869402	1.0	1.0	1.0	1.0	1.0	1.0	1000	1000	1000	1.0	1.0	1.0	1.0	0.001	0	0	231
flickr30k	init	1	7415	145000	12.3150551724	11272439	19.6741696308	0	419	0.0565070802428	10.734	87	0.087	0.554894706037	5.47172535728	7.3507780025	0.38636692625	0.177344886208	0.426247056105	0.617477175331	0.42189911734	0.284591691521	0.191580026722	217	487	600	6.0	0.217	0.487	0.6	0.006	10	5381	6693
flickr30k	pre	1	7415	145000	12.3150551724	11272439	20.2138440666	0	373	0.0503034389751	10.32	131	0.131	0.454459197892	5.48617564745	7.30996798193	0.371754839421	0.173559396676	0.417489994192	0.607282733016	0.415696238487	0.282176944732	0.189847077475	220	480	602	6.0	0.22	0.48	0.602	0.006	6	6938	8241
